k,n,correct_result,gossip_result
6,1,5.8,5.863040558356065
6,2,6.166666666666667,6.166664932810551
6,3,5.466666666666667,
6,4,5.766666666666667,5.788533957939693
6,5,5.566666666666666,5.549153100350267
